"Drug Name","Active Ingredient","Form;Route","Appl. No.","Company","Date","Link"
"Abacavir and LAmivudine","Abacavir Sulfate;Lamivudine","TABLET;ORAL","204311","MYLAN LABORATORIES LIMITED","12/22/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/204311s000lbl.pdf#page=34"
"Abilify","Aripiprazole","SOLUTION;ORAL","021713","OTSUKA","02/05/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/021436s044s045,021713s035s036,021729s027s028,021866s029s030lbl.pdf#page=77"
"Abilify","Aripiprazole","TABLET, ORALLY DISINTEGRATING;ORAL","021729","OTSUKA","02/05/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/021436s044s045,021713s035s036,021729s027s028,021866s029s030lbl.pdf#page=77"
"Abilify","Aripiprazole","TABLET;ORAL","021436","OTSUKA","01/22/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/021436s046s050lbl.pdf#page=66"
"Abilify","Aripiprazole","INJECTABLE;INTRAMUSCULAR","021866","OTSUKA","02/05/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/021436s044s045,021713s035s036,021729s027s028,021866s029s030lbl.pdf#page=77"
"Abilify Asimtufii","Aripiprazole Monohydrate","EXTENDED-RELEASE, INJECTABLE SUSPENSION; INTRAMUSCULAR","217006","OTSUKA PHARMACEUTICAL CO., LTD","01/22/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/217006s002lbl.pdf#page=40"
"Abilify Maintena Kit","Aripiprazole","FOR SUSPENSION, EXTENDED RELEASE;INTRAMUSCULAR","202971","OTSUKA PHARM CO LTD","01/22/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/202971s019lbl.pdf#page=46"
"Abilify Mycite Kit","Aripiprazole","TABLET;ORAL","207202","OTSUKA","01/22/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/207202s009lbl.pdf#page=48"
"Abrilada","Adalimumab-Afzb","INJECTABLE;INJECTION","761118","PFIZER INC","10/04/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761118s007lbl.pdf#page=47"
"Absorica","Isotretinoin","CAPSULE;ORAL","021951","SUN PHARM INDS INC","06/16/2026","https://www.accessdata.fda.gov/drugsatfda_docs/label/2026/021951s029lbl.pdf#page=23"
